Row(reviewTime=u'01 2, 2013', avgRating=4.393939393939394, avgtime=1357084800.0)
Row(reviewTime=u'01 3, 2013', avgRating=4.047058823529412, avgtime=1357171200.0)
Row(reviewTime=u'01 4, 2013', avgRating=4.357142857142857, avgtime=1357257600.0)
Row(reviewTime=u'01 5, 2013', avgRating=4.16, avgtime=1357344000.0)
Row(reviewTime=u'01 6, 2013', avgRating=4.395348837209302, avgtime=1357430400.0)
Row(reviewTime=u'01 7, 2013', avgRating=4.59047619047619, avgtime=1357516800.0)
Row(reviewTime=u'01 8, 2013', avgRating=4.2023809523809526, avgtime=1357603200.0)
Row(reviewTime=u'01 9, 2013', avgRating=4.439024390243903, avgtime=1357689600.0)
Row(reviewTime=u'01 10, 2013', avgRating=4.432098765432099, avgtime=1357776000.0)
Row(reviewTime=u'01 11, 2013', avgRating=4.420289855072464, avgtime=1357862400.0)
Row(reviewTime=u'01 12, 2013', avgRating=4.352112676056338, avgtime=1357948800.0)
Row(reviewTime=u'01 13, 2013', avgRating=4.22972972972973, avgtime=1358035200.0)
Row(reviewTime=u'01 14, 2013', avgRating=4.512820512820513, avgtime=1358121600.0)
Row(reviewTime=u'01 15, 2013', avgRating=4.305882352941176, avgtime=1358208000.0)
Row(reviewTime=u'01 16, 2013', avgRating=4.451219512195122, avgtime=1358294400.0)
Row(reviewTime=u'01 17, 2013', avgRating=4.571428571428571, avgtime=1358380800.0)
Row(reviewTime=u'01 18, 2013', avgRating=4.491803278688525, avgtime=1358467200.0)
Row(reviewTime=u'01 19, 2013', avgRating=4.46969696969697, avgtime=1358553600.0)
Row(reviewTime=u'01 20, 2013', avgRating=4.294117647058823, avgtime=1358640000.0)
Row(reviewTime=u'01 21, 2013', avgRating=4.408450704225352, avgtime=1358726400.0)
Row(reviewTime=u'01 22, 2013', avgRating=4.5, avgtime=1358812800.0)
Row(reviewTime=u'01 23, 2013', avgRating=4.338709677419355, avgtime=1358899200.0)
Row(reviewTime=u'01 24, 2013', avgRating=4.526315789473684, avgtime=1358985600.0)
Row(reviewTime=u'01 25, 2013', avgRating=4.36734693877551, avgtime=1359072000.0)
Row(reviewTime=u'01 26, 2013', avgRating=4.428571428571429, avgtime=1359158400.0)
Row(reviewTime=u'01 27, 2013', avgRating=4.542168674698795, avgtime=1359244800.0)
Row(reviewTime=u'01 28, 2013', avgRating=4.411764705882353, avgtime=1359331200.0)
Row(reviewTime=u'01 29, 2013', avgRating=4.523809523809524, avgtime=1359417600.0)
