[
(date=u'2013-01-02', avgRating=4.423357664233577, close=78.4328), 
(date=u'2013-01-03', avgRating=4.133333333333334, close=77.4422), 
(date=u'2013-01-04', avgRating=4.309523809523809, close=75.2857), 
(date=u'2013-01-07', avgRating=4.521428571428571, close=74.8428), 
(date=u'2013-01-08', avgRating=4.070796460176991, close=75.0443), 
(date=u'2013-01-09', avgRating=4.221238938053097, close=73.8714), 
(date=u'2013-01-10', avgRating=4.380530973451328, close=74.7871), 
(date=u'2013-01-11', avgRating=4.319148936170213, close=74.3285), 
(date=u'2013-01-14', avgRating=4.3983739837398375, close=71.6785), 
(date=u'2013-01-15', avgRating=4.271929824561403, close=69.4171), 
(date=u'2013-01-16', avgRating=4.37962962962963, close=72.2985), 
(date=u'2013-01-17', avgRating=4.396396396396397, close=71.8114), 
(date=u'2013-01-18', avgRating=4.3977272727272725, close=71.4285), 
(date=u'2013-01-22', avgRating=4.326923076923077, close=72.11), 
(date=u'2013-01-23', avgRating=4.182926829268292, close=73.4293), 
(date=u'2013-01-24', avgRating=4.427083333333333, close=64.3571), 
(date=u'2013-01-25', avgRating=4.333333333333333, close=62.84), 
(date=u'2013-01-28', avgRating=4.349206349206349, close=64.2614), 
(date=u'2013-01-29', avgRating=4.225806451612903, close=65.4671), 
(date=u'2013-01-30', avgRating=4.325925925925926, close=65.2614), 
(date=u'2013-01-31', avgRating=4.434210526315789, close=65.07), 
(date=u'2013-02-01', avgRating=4.297297297297297, close=64.8028), 
(date=u'2013-02-04', avgRating=4.180722891566265, close=63.188), 
(date=u'2013-02-05', avgRating=4.440476190476191, close=65.4063), 
(date=u'2013-02-06', avgRating=4.195121951219512, close=65.3357), 
(date=u'2013-02-07', avgRating=4.275862068965517, close=66.8886), 
(date=u'2013-02-08', avgRating=4.162790697674419, close=67.8543), 
(date=u'2013-02-11', avgRating=4.472222222222222, close=68.5614), 
(date=u'2013-02-12', avgRating=4.196969696969697, close=66.8428), 
(date=u'2013-02-13', avgRating=4.288659793814433, close=66.7157), 
(date=u'2013-02-14', avgRating=4.304347826086956, close=66.6557), 
(date=u'2013-02-15', avgRating=3.933333333333333, close=65.7371), 
(date=u'2013-02-19', avgRating=4.16, close=65.7128), 
(date=u'2013-02-20', avgRating=4.148148148148148, close=64.1214), 
(date=u'2013-02-21', avgRating=4.262626262626263, close=63.7228), 
(date=u'2013-02-22', avgRating=4.376344086021505, close=64.4014), 
(date=u'2013-02-25', avgRating=4.382716049382716, close=63.2571), 
(date=u'2013-02-26', avgRating=4.424657534246576, close=64.1386), 
(date=u'2013-02-27', avgRating=4.139784946236559, close=63.51), 
(date=u'2013-02-28', avgRating=4.306666666666667, close=63.0571), 
(date=u'2013-03-01', avgRating=4.225, close=61.4957), 
(date=u'2013-03-04', avgRating=4.4186046511627906, close=60.0071), 
(date=u'2013-03-05', avgRating=4.246913580246914, close=61.592), 
(date=u'2013-03-06', avgRating=4.3478260869565215, close=60.8088), 
(date=u'2013-03-07', avgRating=4.347222222222222, close=61.5117), 
(date=u'2013-03-08', avgRating=4.030612244897959, close=61.6743), 
(date=u'2013-03-11', avgRating=4.431578947368421, close=62.5528), 
(date=u'2013-03-12', avgRating=3.9887640449438204, close=61.2043), 
(date=u'2013-03-13', avgRating=4.228070175438597, close=61.1928), 
(date=u'2013-03-14', avgRating=4.289156626506024, close=61.7857), 
(date=u'2013-03-15', avgRating=4.291666666666667, close=63.38), 
(date=u'2013-03-18', avgRating=4.2272727272727275, close=65.1028), 
(date=u'2013-03-19', avgRating=4.47945205479452, close=64.9271), 
(date=u'2013-03-20', avgRating=4.1923076923076925, close=64.5828), 
(date=u'2013-03-21', avgRating=4.43, close=64.6757), 
(date=u'2013-03-22', avgRating=4.369047619047619, close=65.9871), 
(date=u'2013-03-25', avgRating=4.010204081632653, close=66.2257), 
(date=u'2013-03-26', avgRating=4.413333333333333, close=65.8766), 
(date=u'2013-03-27', avgRating=4.255813953488372, close=64.5828), 
(date=u'2013-03-28', avgRating=4.238636363636363, close=63.2371), 
(date=u'2013-04-01', avgRating=4.46875, close=61.2728), 
(date=u'2013-04-02', avgRating=4.359550561797753, close=61.3988), 
(date=u'2013-04-03', avgRating=4.222222222222222, close=61.7128), 
(date=u'2013-04-04', avgRating=4.173913043478261, close=61.1028), 
(date=u'2013-04-05', avgRating=4.1506849315068495, close=60.4571), 
(date=u'2013-04-08', avgRating=4.366197183098592, close=60.8871), 
(date=u'2013-04-09', avgRating=4.233333333333333, close=60.9971), 
(date=u'2013-04-10', avgRating=4.3125, close=62.2414), 
(date=u'2013-04-11', avgRating=4.173913043478261, close=62.0471), 
(date=u'2013-04-12', avgRating=4.260869565217392, close=61.4), 
(date=u'2013-04-15', avgRating=4.365384615384615, close=59.9786), 
(date=u'2013-04-16', avgRating=4.574468085106383, close=60.8914), 
(date=u'2013-04-17', avgRating=4.346774193548387, close=57.5428), 
(date=u'2013-04-18', avgRating=4.381578947368421, close=56.0071), 
(date=u'2013-04-19', avgRating=4.431372549019608, close=55.79), 
(date=u'2013-04-22', avgRating=4.328947368421052, close=56.9528), 
(date=u'2013-04-23', avgRating=4.484848484848484, close=58.0186), 
(date=u'2013-04-24', avgRating=3.8676470588235294, close=57.9231), 
