Row(reviewTime=u'01 2, 2013', avgRating=4.228070175438597, avgtime=1357084800.0)
Row(reviewTime=u'01 3, 2013', avgRating=4.282051282051282, avgtime=1357171200.0)
Row(reviewTime=u'01 4, 2013', avgRating=4.247311827956989, avgtime=1357257600.0)
Row(reviewTime=u'01 5, 2013', avgRating=4.04054054054054, avgtime=1357344000.0)
Row(reviewTime=u'01 6, 2013', avgRating=4.202898550724638, avgtime=1357430400.0)
Row(reviewTime=u'01 7, 2013', avgRating=3.9878048780487805, avgtime=1357516800.0)
Row(reviewTime=u'01 8, 2013', avgRating=4.172839506172839, avgtime=1357603200.0)
Row(reviewTime=u'01 9, 2013', avgRating=4.195402298850575, avgtime=1357689600.0)
Row(reviewTime=u'01 10, 2013', avgRating=4.073684210526316, avgtime=1357776000.0)
Row(reviewTime=u'01 11, 2013', avgRating=4.364705882352941, avgtime=1357862400.0)
Row(reviewTime=u'01 12, 2013', avgRating=4.375, avgtime=1357948800.0)
Row(reviewTime=u'01 13, 2013', avgRating=4.234375, avgtime=1358035200.0)
Row(reviewTime=u'01 14, 2013', avgRating=4.252631578947368, avgtime=1358121600.0)
Row(reviewTime=u'01 15, 2013', avgRating=4.205882352941177, avgtime=1358208000.0)
Row(reviewTime=u'01 16, 2013', avgRating=4.306666666666667, avgtime=1358294400.0)
Row(reviewTime=u'01 17, 2013', avgRating=4.2894736842105265, avgtime=1358380800.0)
Row(reviewTime=u'01 18, 2013', avgRating=4.243243243243243, avgtime=1358467200.0)
Row(reviewTime=u'01 19, 2013', avgRating=4.121951219512195, avgtime=1358553600.0)
Row(reviewTime=u'01 20, 2013', avgRating=4.3164556962025316, avgtime=1358640000.0)
Row(reviewTime=u'01 21, 2013', avgRating=4.3164556962025316, avgtime=1358726400.0)
Row(reviewTime=u'01 22, 2013', avgRating=4.126760563380282, avgtime=1358812800.0)
Row(reviewTime=u'01 23, 2013', avgRating=4.0, avgtime=1358899200.0)
Row(reviewTime=u'01 24, 2013', avgRating=4.1692307692307695, avgtime=1358985600.0)
Row(reviewTime=u'01 25, 2013', avgRating=3.888888888888889, avgtime=1359072000.0)
Row(reviewTime=u'01 26, 2013', avgRating=4.12962962962963, avgtime=1359158400.0)
Row(reviewTime=u'01 27, 2013', avgRating=4.404761904761905, avgtime=1359244800.0)
Row(reviewTime=u'01 28, 2013', avgRating=4.223684210526316, avgtime=1359331200.0)
Row(reviewTime=u'01 29, 2013', avgRating=3.8333333333333335, avgtime=1359417600.0)
Row(reviewTime=u'01 30, 2013', avgRating=4.476190476190476, avgtime=1359504000.0)
Row(reviewTime=u'01 31, 2013', avgRating=4.090909090909091, avgtime=1359590400.0)
Row(reviewTime=u'02 1, 2013', avgRating=4.266666666666667, avgtime=1359676800.0)
Row(reviewTime=u'02 2, 2013', avgRating=4.1, avgtime=1359763200.0)
Row(reviewTime=u'02 3, 2013', avgRating=4.157894736842105, avgtime=1359849600.0)
Row(reviewTime=u'02 4, 2013', avgRating=3.935064935064935, avgtime=1359936000.0)
Row(reviewTime=u'02 5, 2013', avgRating=4.32, avgtime=1360022400.0)
Row(reviewTime=u'02 6, 2013', avgRating=4.546875, avgtime=1360108800.0)
Row(reviewTime=u'02 7, 2013', avgRating=4.266666666666667, avgtime=1360195200.0)
Row(reviewTime=u'02 8, 2013', avgRating=4.348484848484849, avgtime=1360281600.0)
Row(reviewTime=u'02 9, 2013', avgRating=4.337837837837838, avgtime=1360368000.0)
Row(reviewTime=u'02 10, 2013', avgRating=4.225806451612903, avgtime=1360454400.0)
Row(reviewTime=u'02 11, 2013', avgRating=4.190476190476191, avgtime=1360540800.0)
Row(reviewTime=u'02 12, 2013', avgRating=4.12280701754386, avgtime=1360627200.0)
Row(reviewTime=u'02 13, 2013', avgRating=4.242424242424242, avgtime=1360713600.0)
Row(reviewTime=u'02 14, 2013', avgRating=4.218181818181818, avgtime=1360800000.0)
Row(reviewTime=u'02 15, 2013', avgRating=4.296296296296297, avgtime=1360886400.0)
Row(reviewTime=u'02 16, 2013', avgRating=4.222222222222222, avgtime=1360972800.0)
Row(reviewTime=u'02 17, 2013', avgRating=4.040816326530612, avgtime=1361059200.0)
Row(reviewTime=u'02 18, 2013', avgRating=4.21875, avgtime=1361145600.0)
Row(reviewTime=u'02 19, 2013', avgRating=4.430232558139535, avgtime=1361232000.0)
Row(reviewTime=u'02 20, 2013', avgRating=4.191780821917808, avgtime=1361318400.0)
Row(reviewTime=u'02 21, 2013', avgRating=3.8805970149253732, avgtime=1361404800.0)
Row(reviewTime=u'02 22, 2013', avgRating=4.413333333333333, avgtime=1361491200.0)
Row(reviewTime=u'02 23, 2013', avgRating=3.8793103448275863, avgtime=1361577600.0)
Row(reviewTime=u'02 24, 2013', avgRating=4.014705882352941, avgtime=1361664000.0)
Row(reviewTime=u'02 25, 2013', avgRating=4.152941176470589, avgtime=1361750400.0)
Row(reviewTime=u'02 26, 2013', avgRating=4.017543859649122, avgtime=1361836800.0)
Row(reviewTime=u'02 27, 2013', avgRating=4.482758620689655, avgtime=1361923200.0)
Row(reviewTime=u'02 28, 2013', avgRating=4.2153846153846155, avgtime=1362009600.0)
Row(reviewTime=u'03 1, 2013', avgRating=4.209677419354839, avgtime=1362096000.0)
Row(reviewTime=u'03 2, 2013', avgRating=4.169014084507042, avgtime=1362182400.0)
Row(reviewTime=u'03 3, 2013', avgRating=4.014285714285714, avgtime=1362268800.0)
Row(reviewTime=u'03 4, 2013', avgRating=4.161764705882353, avgtime=1362355200.0)
Row(reviewTime=u'03 5, 2013', avgRating=4.435897435897436, avgtime=1362441600.0)
Row(reviewTime=u'03 6, 2013', avgRating=3.9722222222222223, avgtime=1362528000.0)
Row(reviewTime=u'03 7, 2013', avgRating=4.169014084507042, avgtime=1362614400.0)
Row(reviewTime=u'03 8, 2013', avgRating=4.333333333333333, avgtime=1362700800.0)
Row(reviewTime=u'03 9, 2013', avgRating=4.242857142857143, avgtime=1362787200.0)
Row(reviewTime=u'03 10, 2013', avgRating=4.301587301587301, avgtime=1362873600.0)
Row(reviewTime=u'03 11, 2013', avgRating=4.1466666666666665, avgtime=1362960000.0)
Row(reviewTime=u'03 12, 2013', avgRating=4.136363636363637, avgtime=1363046400.0)
Row(reviewTime=u'03 13, 2013', avgRating=4.055555555555555, avgtime=1363132800.0)
Row(reviewTime=u'03 14, 2013', avgRating=4.09375, avgtime=1363219200.0)
Row(reviewTime=u'03 15, 2013', avgRating=4.354838709677419, avgtime=1363305600.0)
Row(reviewTime=u'03 16, 2013', avgRating=4.222222222222222, avgtime=1363392000.0)
Row(reviewTime=u'03 17, 2013', avgRating=4.253968253968254, avgtime=1363478400.0)
Row(reviewTime=u'03 18, 2013', avgRating=4.306818181818182, avgtime=1363564800.0)
Row(reviewTime=u'03 19, 2013', avgRating=4.571428571428571, avgtime=1363651200.0)
Row(reviewTime=u'03 20, 2013', avgRating=4.3478260869565215, avgtime=1363737600.0)
Row(reviewTime=u'03 21, 2013', avgRating=4.5, avgtime=1363824000.0)
Row(reviewTime=u'03 22, 2013', avgRating=4.212121212121212, avgtime=1363910400.0)
Row(reviewTime=u'03 23, 2013', avgRating=4.123076923076923, avgtime=1363996800.0)
Row(reviewTime=u'03 24, 2013', avgRating=4.123076923076923, avgtime=1364083200.0)
Row(reviewTime=u'03 25, 2013', avgRating=4.207792207792208, avgtime=1364169600.0)
Row(reviewTime=u'03 26, 2013', avgRating=4.537313432835821, avgtime=1364256000.0)
Row(reviewTime=u'03 27, 2013', avgRating=4.232142857142857, avgtime=1364342400.0)
Row(reviewTime=u'03 28, 2013', avgRating=4.174418604651163, avgtime=1364428800.0)
Row(reviewTime=u'03 29, 2013', avgRating=4.133333333333334, avgtime=1364515200.0)
Row(reviewTime=u'03 30, 2013', avgRating=4.46969696969697, avgtime=1364601600.0)
Row(reviewTime=u'03 31, 2013', avgRating=3.843137254901961, avgtime=1364688000.0)
Row(reviewTime=u'04 1, 2013', avgRating=4.383561643835616, avgtime=1364774400.0)
Row(reviewTime=u'04 2, 2013', avgRating=4.384615384615385, avgtime=1364860800.0)
Row(reviewTime=u'04 3, 2013', avgRating=4.464285714285714, avgtime=1364947200.0)
Row(reviewTime=u'04 4, 2013', avgRating=4.03030303030303, avgtime=1365033600.0)
Row(reviewTime=u'04 5, 2013', avgRating=4.26984126984127, avgtime=1365120000.0)
Row(reviewTime=u'04 6, 2013', avgRating=4.241379310344827, avgtime=1365206400.0)
Row(reviewTime=u'04 7, 2013', avgRating=4.052631578947368, avgtime=1365292800.0)
Row(reviewTime=u'04 8, 2013', avgRating=4.441558441558442, avgtime=1365379200.0)
Row(reviewTime=u'04 9, 2013', avgRating=4.269230769230769, avgtime=1365465600.0)
Row(reviewTime=u'04 10, 2013', avgRating=4.087719298245614, avgtime=1365552000.0)
Row(reviewTime=u'04 11, 2013', avgRating=3.7846153846153845, avgtime=1365638400.0)
Row(reviewTime=u'04 12, 2013', avgRating=4.257575757575758, avgtime=1365724800.0)
Row(reviewTime=u'04 13, 2013', avgRating=4.223880597014926, avgtime=1365811200.0)
Row(reviewTime=u'04 14, 2013', avgRating=4.340909090909091, avgtime=1365897600.0)
Row(reviewTime=u'04 15, 2013', avgRating=4.204081632653061, avgtime=1365984000.0)
