Row(date=u'2013-01-02', avgRating=4.423357664233577)
Row(date=u'2013-01-03', avgRating=4.133333333333334)
Row(date=u'2013-01-04', avgRating=4.309523809523809)
Row(date=u'2013-01-05', avgRating=4.1826923076923075)
Row(date=u'2013-01-06', avgRating=4.248)
Row(date=u'2013-01-07', avgRating=4.521428571428571)
Row(date=u'2013-01-08', avgRating=4.070796460176991)
Row(date=u'2013-01-09', avgRating=4.221238938053097)
Row(date=u'2013-01-10', avgRating=4.380530973451328)
Row(date=u'2013-01-11', avgRating=4.319148936170213)
Row(date=u'2013-01-12', avgRating=4.41747572815534)
Row(date=u'2013-01-13', avgRating=4.25)
Row(date=u'2013-01-14', avgRating=4.3983739837398375)
Row(date=u'2013-01-15', avgRating=4.271929824561403)
Row(date=u'2013-01-16', avgRating=4.37962962962963)
Row(date=u'2013-01-17', avgRating=4.396396396396397)
Row(date=u'2013-01-18', avgRating=4.3977272727272725)
Row(date=u'2013-01-19', avgRating=4.434782608695652)
Row(date=u'2013-01-20', avgRating=4.2894736842105265)
Row(date=u'2013-01-21', avgRating=4.347368421052631)
Row(date=u'2013-01-22', avgRating=4.326923076923077)
Row(date=u'2013-01-23', avgRating=4.182926829268292)
Row(date=u'2013-01-24', avgRating=4.427083333333333)
Row(date=u'2013-01-25', avgRating=4.333333333333333)
Row(date=u'2013-01-26', avgRating=4.406976744186046)
Row(date=u'2013-01-27', avgRating=4.513761467889908)
Row(date=u'2013-01-28', avgRating=4.349206349206349)
Row(date=u'2013-01-29', avgRating=4.225806451612903)
Row(date=u'2013-01-30', avgRating=4.325925925925926)
Row(date=u'2013-01-31', avgRating=4.434210526315789)
Row(date=u'2013-02-01', avgRating=4.297297297297297)
Row(date=u'2013-02-02', avgRating=4.4)
Row(date=u'2013-02-03', avgRating=4.525773195876289)
Row(date=u'2013-02-04', avgRating=4.180722891566265)
Row(date=u'2013-02-05', avgRating=4.440476190476191)
Row(date=u'2013-02-06', avgRating=4.195121951219512)
Row(date=u'2013-02-07', avgRating=4.275862068965517)
Row(date=u'2013-02-08', avgRating=4.162790697674419)
Row(date=u'2013-02-09', avgRating=4.253731343283582)
Row(date=u'2013-02-10', avgRating=4.204301075268817)
Row(date=u'2013-02-11', avgRating=4.472222222222222)
Row(date=u'2013-02-12', avgRating=4.196969696969697)
Row(date=u'2013-02-13', avgRating=4.288659793814433)
Row(date=u'2013-02-14', avgRating=4.304347826086956)
Row(date=u'2013-02-15', avgRating=3.933333333333333)
Row(date=u'2013-02-16', avgRating=4.298969072164948)
Row(date=u'2013-02-17', avgRating=4.375)
Row(date=u'2013-02-18', avgRating=4.260416666666667)
Row(date=u'2013-02-19', avgRating=4.16)
Row(date=u'2013-02-20', avgRating=4.148148148148148)
Row(date=u'2013-02-21', avgRating=4.262626262626263)
Row(date=u'2013-02-22', avgRating=4.376344086021505)
Row(date=u'2013-02-23', avgRating=4.45945945945946)
Row(date=u'2013-02-24', avgRating=4.213114754098361)
Row(date=u'2013-02-25', avgRating=4.382716049382716)
Row(date=u'2013-02-26', avgRating=4.424657534246576)
Row(date=u'2013-02-27', avgRating=4.139784946236559)
Row(date=u'2013-02-28', avgRating=4.306666666666667)
Row(date=u'2013-03-01', avgRating=4.225)
Row(date=u'2013-03-02', avgRating=4.419753086419753)
Row(date=u'2013-03-03', avgRating=4.407407407407407)
Row(date=u'2013-03-04', avgRating=4.4186046511627906)
Row(date=u'2013-03-05', avgRating=4.246913580246914)
Row(date=u'2013-03-06', avgRating=4.3478260869565215)
Row(date=u'2013-03-07', avgRating=4.347222222222222)
Row(date=u'2013-03-08', avgRating=4.030612244897959)
Row(date=u'2013-03-09', avgRating=4.153846153846154)
Row(date=u'2013-03-10', avgRating=4.219178082191781)
Row(date=u'2013-03-11', avgRating=4.431578947368421)
Row(date=u'2013-03-12', avgRating=3.9887640449438204)
Row(date=u'2013-03-13', avgRating=4.228070175438597)
Row(date=u'2013-03-14', avgRating=4.289156626506024)
Row(date=u'2013-03-15', avgRating=4.291666666666667)
Row(date=u'2013-03-16', avgRating=4.107142857142857)
Row(date=u'2013-03-17', avgRating=4.555555555555555)
Row(date=u'2013-03-18', avgRating=4.2272727272727275)
Row(date=u'2013-03-19', avgRating=4.47945205479452)
Row(date=u'2013-03-20', avgRating=4.1923076923076925)
Row(date=u'2013-03-21', avgRating=4.43)
Row(date=u'2013-03-22', avgRating=4.369047619047619)
Row(date=u'2013-03-23', avgRating=4.161290322580645)
Row(date=u'2013-03-24', avgRating=4.015873015873016)
Row(date=u'2013-03-25', avgRating=4.010204081632653)
Row(date=u'2013-03-26', avgRating=4.413333333333333)
Row(date=u'2013-03-27', avgRating=4.255813953488372)
Row(date=u'2013-03-28', avgRating=4.238636363636363)
Row(date=u'2013-03-29', avgRating=4.2023809523809526)
Row(date=u'2013-03-30', avgRating=4.184210526315789)
Row(date=u'2013-03-31', avgRating=4.196078431372549)
Row(date=u'2013-04-01', avgRating=4.46875)
Row(date=u'2013-04-02', avgRating=4.359550561797753)
Row(date=u'2013-04-03', avgRating=4.222222222222222)
Row(date=u'2013-04-04', avgRating=4.173913043478261)
Row(date=u'2013-04-05', avgRating=4.1506849315068495)
Row(date=u'2013-04-06', avgRating=4.25531914893617)
Row(date=u'2013-04-07', avgRating=4.297872340425532)
Row(date=u'2013-04-08', avgRating=4.366197183098592)
Row(date=u'2013-04-09', avgRating=4.233333333333333)
Row(date=u'2013-04-10', avgRating=4.3125)
Row(date=u'2013-04-11', avgRating=4.173913043478261)
Row(date=u'2013-04-12', avgRating=4.260869565217392)
Row(date=u'2013-04-13', avgRating=4.086956521739131)
Row(date=u'2013-04-14', avgRating=4.076923076923077)
Row(date=u'2013-04-15', avgRating=4.365384615384615)
Row(date=u'2013-04-16', avgRating=4.574468085106383)
Row(date=u'2013-04-17', avgRating=4.346774193548387)
Row(date=u'2013-04-18', avgRating=4.381578947368421)
Row(date=u'2013-04-19', avgRating=4.431372549019608)
Row(date=u'2013-04-20', avgRating=4.183333333333334)
Row(date=u'2013-04-21', avgRating=4.313725490196078)
Row(date=u'2013-04-22', avgRating=4.328947368421052)
Row(date=u'2013-04-23', avgRating=4.484848484848484)
Row(date=u'2013-04-24', avgRating=3.8676470588235294)
Row(date=u'2013-04-25', avgRating=4.0131578947368425)
Row(date=u'2013-04-26', avgRating=4.27536231884058)
Row(date=u'2013-04-27', avgRating=4.354166666666667)
Row(date=u'2013-04-28', avgRating=4.076923076923077)
Row(date=u'2013-04-29', avgRating=4.088235294117647)
Row(date=u'2013-04-30', avgRating=4.39344262295082)
Row(date=u'2013-05-01', avgRating=4.366197183098592)
Row(date=u'2013-05-02', avgRating=4.074626865671642)
Row(date=u'2013-05-03', avgRating=4.425925925925926)
Row(date=u'2013-05-04', avgRating=4.147540983606557)
Row(date=u'2013-05-05', avgRating=4.1)
Row(date=u'2013-05-06', avgRating=4.418918918918919)
Row(date=u'2013-05-07', avgRating=4.2727272727272725)
Row(date=u'2013-05-08', avgRating=4.162790697674419)
Row(date=u'2013-05-09', avgRating=4.18)
Row(date=u'2013-05-10', avgRating=4.388888888888889)
Row(date=u'2013-05-11', avgRating=3.826923076923077)
Row(date=u'2013-05-12', avgRating=4.109090909090909)
Row(date=u'2013-05-13', avgRating=4.197530864197531)
Row(date=u'2013-05-14', avgRating=4.101694915254237)
Row(date=u'2013-05-15', avgRating=4.246153846153846)
Row(date=u'2013-05-16', avgRating=4.163934426229508)
Row(date=u'2013-05-17', avgRating=4.1568627450980395)
Row(date=u'2013-05-18', avgRating=4.327868852459017)
Row(date=u'2013-05-19', avgRating=4.433734939759036)
Row(date=u'2013-05-20', avgRating=4.309523809523809)
Row(date=u'2013-05-21', avgRating=4.507246376811594)
Row(date=u'2013-05-22', avgRating=4.028169014084507)
Row(date=u'2013-05-23', avgRating=4.078431372549019)
Row(date=u'2013-05-24', avgRating=4.574074074074074)
Row(date=u'2013-05-25', avgRating=4.377049180327869)
Row(date=u'2013-05-26', avgRating=4.446808510638298)
Row(date=u'2013-05-27', avgRating=4.285714285714286)
Row(date=u'2013-05-28', avgRating=4.144578313253012)
