[
(date=u'2013/05/31', close=64.2478), 
(date=u'2013/05/30', close=64.5114), 
(date=u'2013/05/29', close=63.5643), 
(date=u'2013/05/28', close=63.0627), 
(date=u'2013/05/24', close=63.5928), 
(date=u'2013/05/23', close=63.1628), 
(date=u'2013/05/22', close=63.0506), 
(date=u'2013/05/21', close=62.8086), 
(date=u'2013/05/20', close=63.2757), 
(date=u'2013/05/17', close=61.8943), 
(date=u'2013/05/16', close=62.0826), 
(date=u'2013/05/15', close=61.2643), 
(date=u'2013/05/14', close=63.4086), 
(date=u'2013/05/13', close=64.9628), 
(date=u'2013/05/10', close=64.71), 
(date=u'2013/05/09', close=65.2528), 
(date=u'2013/05/08', close=66.2628), 
(date=u'2013/05/07', close=65.5226), 
(date=u'2013/05/06', close=65.8157), 
(date=u'2013/05/03', close=64.2828), 
(date=u'2013/05/02', close=63.6457), 
(date=u'2013/05/01', close=62.7557), 
(date=u'2013/04/30', close=63.2543), 
(date=u'2013/04/29', close=61.4457), 
(date=u'2013/04/26', close=59.6007), 
(date=u'2013/04/25', close=58.34), 
(date=u'2013/04/24', close=57.9231), 
(date=u'2013/04/23', close=58.0186), 
(date=u'2013/04/22', close=56.9528), 
(date=u'2013/04/19', close=55.79), 
(date=u'2013/04/18', close=56.0071), 
(date=u'2013/04/17', close=57.5428), 
(date=u'2013/04/16', close=60.8914), 
(date=u'2013/04/15', close=59.9786), 
(date=u'2013/04/12', close=61.4), 
(date=u'2013/04/11', close=62.0471), 
(date=u'2013/04/10', close=62.2414), 
(date=u'2013/04/09', close=60.9971), 
(date=u'2013/04/08', close=60.8871), 
(date=u'2013/04/05', close=60.4571), 
(date=u'2013/04/04', close=61.1028), 
(date=u'2013/04/03', close=61.7128), 
(date=u'2013/04/02', close=61.3988), 
(date=u'2013/04/01', close=61.2728), 
(date=u'2013/03/28', close=63.2371), 
(date=u'2013/03/27', close=64.5828), 
(date=u'2013/03/26', close=65.8766), 
(date=u'2013/03/25', close=66.2257), 
(date=u'2013/03/22', close=65.9871), 
(date=u'2013/03/21', close=64.6757), 
(date=u'2013/03/20', close=64.5828), 
(date=u'2013/03/19', close=64.9271), 
(date=u'2013/03/18', close=65.1028), 
(date=u'2013/03/15', close=63.38), 
(date=u'2013/03/14', close=61.7857), 
(date=u'2013/03/13', close=61.1928), 
(date=u'2013/03/12', close=61.2043), 
(date=u'2013/03/11', close=62.5528), 
(date=u'2013/03/08', close=61.6743), 
(date=u'2013/03/07', close=61.5117), 
(date=u'2013/03/06', close=60.8088), 
(date=u'2013/03/05', close=61.592), 
(date=u'2013/03/04', close=60.0071), 
(date=u'2013/03/01', close=61.4957), 
(date=u'2013/02/28', close=63.0571), 
(date=u'2013/02/27', close=63.51), 
(date=u'2013/02/26', close=64.1386), 
(date=u'2013/02/25', close=63.2571), 
(date=u'2013/02/22', close=64.4014), 
(date=u'2013/02/21', close=63.7228), 
(date=u'2013/02/20', close=64.1214), 
(date=u'2013/02/19', close=65.7128), 
(date=u'2013/02/15', close=65.7371), 
(date=u'2013/02/14', close=66.6557), 
(date=u'2013/02/13', close=66.7157), 
(date=u'2013/02/12', close=66.8428), 
(date=u'2013/02/11', close=68.5614), 
(date=u'2013/02/08', close=67.8543), 
(date=u'2013/02/07', close=66.8886), 
(date=u'2013/02/06', close=65.3357), 
(date=u'2013/02/05', close=65.4063), 
(date=u'2013/02/04', close=63.188), 
(date=u'2013/02/01', close=64.8028), 
(date=u'2013/01/31', close=65.07), 
(date=u'2013/01/30', close=65.2614), 
(date=u'2013/01/29', close=65.4671), 
(date=u'2013/01/28', close=64.2614), 
(date=u'2013/01/25', close=62.84), 
(date=u'2013/01/24', close=64.3571), 
(date=u'2013/01/23', close=73.4293), 
(date=u'2013/01/22', close=72.11), 
(date=u'2013/01/18', close=71.4285), 
(date=u'2013/01/17', close=71.8114), 
(date=u'2013/01/16', close=72.2985), 
(date=u'2013/01/15', close=69.4171), 
(date=u'2013/01/14', close=71.6785), 
(date=u'2013/01/11', close=74.3285), 
(date=u'2013/01/10', close=74.7871), 
(date=u'2013/01/09', close=73.8714), 
(date=u'2013/01/08', close=75.0443), 
(date=u'2013/01/07', close=74.8428), 
(date=u'2013/01/04', close=75.2857), 
(date=u'2013/01/03', close=77.4422), 
(date=u'2013/01/02', close=78.4328)]



real    0m16.654s
user    0m15.159s
sys     0m0.802s
