"date","close","volume","open","high","low"
"10:59","88.40","236,335","88.46","88.78","87.74"
"2018/01/19","88.4900","860277.0000","88.2700","88.9500","88.1000"
"2018/01/18","88.3900","960839.0000","88.0700","88.5200","87.6300"
"2018/01/17","88.1100","767503.0000","86.8200","88.4400","86.0850"
"2018/01/16","86.0900","693913.0000","87.2300","87.7400","85.9400"
"2018/01/12","86.7500","1538168.0000","86.8700","87.3300","86.1800"
"2018/01/11","86.8300","913555.0000","85.5100","86.8400","85.3000"
"2018/01/10","84.6100","678536.0000","83.8000","84.6200","83.3900"
"2018/01/09","84.2800","777118.0000","85.5000","85.5000","84.2300"
"2018/01/08","85.3800","1038979.0000","85.0900","85.4700","84.7500"
"2018/01/05","85.4000","694669.0000","85.0000","85.6600","84.8000"
"2018/01/04","84.7800","1386832.0000","83.4100","84.9500","83.2731"
"2018/01/03","83.3000","1599383.0000","82.5700","84.0300","82.4600"
"2018/01/02","82.4300","665592.0000","81.5300","82.5200","81.5000"
"2017/12/29","81.2800","882122.0000","81.3600","81.5100","80.7400"
"2017/12/28","81.0300","1397922.0000","81.3400","81.6700","80.6000"
"2017/12/27","81.2600","1153429.0000","81.2300","81.8200","80.8900"
"2017/12/26","81.3800","1502214.0000","81.8000","81.8900","81.1170"
"2017/12/22","82.0800","1027977.0000","82.3700","83.0000","81.7900"
"2017/12/21","82.5400","845956.0000","83.3300","83.6300","82.4000"
"2017/12/20","83.3500","1586339.0000","83.9000","84.1400","82.7000"
"2017/12/19","83.3400","2350968.0000","84.4800","84.4800","82.8300"
"2017/12/18","84.7700","2103974.0000","81.4800","84.7700","81.1700"
"2017/12/15","80.9900","1588588.0000","80.2200","81.1100","79.3700"
"2017/12/14","79.7600","1085980.0000","80.8100","81.1600","79.7250"
"2017/12/13","80.1900","1633761.0000","79.5600","80.7700","79.2000"
"2017/12/12","79.2500","2135452.0000","79.0400","80.0000","78.3700"
"2017/12/11","79.2900","1215298.0000","77.4600","79.3400","77.1000"
"2017/12/08","77.2500","2874354.0000","76.8300","77.6900","75.9400"
"2017/12/07","75.8900","2010436.0000","75.8200","76.9700","75.5600"
"2017/12/06","75.0600","2195347.0000","74.0000","75.4800","73.7500"
"2017/12/05","74.4700","1720203.0000","74.5700","75.8200","73.5600"
"2017/12/04","74.8900","2389310.0000","80.1900","80.2500","74.6600"
"2017/12/01","79.9600","3873278.0000","77.6000","81.9300","77.3000"
"2017/11/30","78.2400","8465469.0000","78.5500","78.8600","76.6000"
"2017/11/29","77.9900","2383790.0000","82.4500","82.4500","76.8400"
"2017/11/28","82.5600","2274513.0000","82.1500","82.8800","81.9800"
"2017/11/27","81.9100","1613172.0000","81.1200","82.1500","80.9500"
"2017/11/24","80.9500","839969.0000","80.8000","81.3900","79.9100"
"2017/11/22","80.7900","1481763.0000","82.1200","82.4000","80.6800"
"2017/11/21","82.2300","1866243.0000","81.2600","82.8800","80.9900"
"2017/11/20","81.2600","1246092.0000","81.4800","82.2300","81.2100"
"2017/11/17","81.4900","1119298.0000","81.1800","81.8900","80.8900"
"2017/11/16","81.3300","1263766.0000","80.7600","82.0000","80.6800"
"2017/11/15","80.2700","1516246.0000","80.9200","81.1300","79.6800"
"2017/11/14","81.4900","1138025.0000","81.6000","81.9300","81.3000"
"2017/11/13","81.8100","1055481.0000","81.8900","82.4100","81.4400"
"2017/11/10","82.5800","768374.0000","81.6700","82.6000","81.6200"
"2017/11/09","81.8800","1190991.0000","81.4300","82.1900","80.6600"
"2017/11/08","82.3100","854861.0000","82.0900","82.8250","81.8700"
"2017/11/07","82.4800","944921.0000","81.7600","82.6800","81.7300"
"2017/11/06","81.5200","1319118.0000","81.0000","82.2300","80.9000"
"2017/11/03","80.8700","971971.0000","81.6800","81.8500","80.4600"
"2017/11/02","81.8600","1053125.0000","82.2000","82.2300","81.2200"
"2017/11/01","82.4000","1113031.0000","83.3200","83.3200","82.0400"
"2017/10/31","82.7700","2051645.0000","83.2100","83.3200","82.4200"
"2017/10/30","83.1500","770331.0000","83.8100","83.8800","82.9100"
"2017/10/27","83.8800","971319.0000","83.2600","83.9800","82.8600"
"2017/10/26","82.9700","793694.0000","82.7500","83.2000","82.6201"
"2017/10/25","82.6000","1339647.0000","82.8300","83.3500","82.1100"
"2017/10/24","83.2500","1035339.0000","82.6700","83.2500","82.5300"
"2017/10/23","82.7100","1147617.0000","82.4200","83.1710","82.4000"
"2017/10/20","82.2400","1145224.0000","82.0000","82.5000","81.8200"
"2017/10/19","81.6400","1576435.0000","81.2700","81.7500","80.9200"
"2017/10/18","81.3500","2206101.0000","81.1400","81.7000","81.1000"
"2017/10/17","80.9900","924914.0000","81.1500","81.4500","80.8100"
"2017/10/16","81.1000","1152057.0000","80.7700","81.4900","80.6900"
"2017/10/13","80.6800","917559.0000","80.5200","80.9600","80.3000"
"2017/10/12","80.2900","1150983.0000","79.4800","80.4600","79.4400"
"2017/10/11","79.3600","1180124.0000","79.0900","79.5000","78.8700"
"2017/10/10","79.0800","949582.0000","79.5400","79.8100","78.8700"
"2017/10/09","79.2600","734389.0000","79.1300","79.5200","79.0000"
"2017/10/06","79.0400","1230451.0000","78.6500","79.0600","78.3400"
"2017/10/05","79.0400","1348763.0000","78.5000","79.1800","78.2500"
"2017/10/04","78.2200","1159095.0000","78.2800","78.4400","77.7200"
"2017/10/03","78.2700","1207048.0000","77.9900","78.6800","77.8950"
"2017/10/02","77.9400","1433469.0000","77.2400","78.4300","77.2300"
"2017/09/29","77.2100","1131162.0000","77.3100","77.6000","77.0600"
"2017/09/28","77.1500","1102766.0000","77.1000","77.3400","76.5700"
"2017/09/27","77.1200","1295987.0000","76.5100","77.5400","76.5100"
"2017/09/26","76.1200","2267489.0000","76.5000","76.5800","75.9300"
"2017/09/25","75.9300","1455920.0000","76.7200","76.9500","75.5800"
"2017/09/22","77.0100","883625.0000","76.6400","77.0100","76.4400"
"2017/09/21","76.6000","747286.0000","76.5800","77.1200","75.6980"
"2017/09/20","76.8300","1202491.0000","76.7900","77.1500","76.5300"
"2017/09/19","76.8200","940826.0000","76.9800","77.2400","76.3900"
"2017/09/18","76.8500","986671.0000","76.8300","77.4300","76.5900"
"2017/09/15","76.9800","3455711.0000","77.2600","77.4200","76.8400"
"2017/09/14","77.3600","1561495.0000","76.7200","77.6900","76.5800"
"2017/09/13","76.7300","1318058.0000","76.2600","76.9300","76.1400"
"2017/09/12","76.2500","1139428.0000","75.5000","76.2650","75.2800"
"2017/09/11","75.4600","1502085.0000","75.1200","75.6100","74.8600"
"2017/09/08","74.2600","1187738.0000","74.3800","75.2630","74.2000"
"2017/09/07","74.4700","2054370.0000","74.5000","75.3400","74.2800"
"2017/09/06","74.6800","2098616.0000","75.0000","75.1400","74.6600"
"2017/09/05","74.8000","1488538.0000","74.3700","75.1000","73.9100"
"2017/09/01","74.7600","1363506.0000","74.9800","75.0700","74.4500"
"2017/08/31","74.9300","1230932.0000","74.4600","75.0000","74.2900"
"2017/08/30","74.2300","1013631.0000","73.0900","74.3000","72.9900"
"2017/08/29","72.9400","749955.0000","72.3800","73.2750","71.3900"
"2017/08/28","72.8000","996703.0000","71.7000","73.1600","71.4900"
"2017/08/25","71.7400","2408954.0000","71.0200","72.6000","70.8500"
"2017/08/24","69.9200","843667.0000","69.2300","70.1100","69.2300"
"2017/08/23","69.2000","856730.0000","68.1400","69.2300","68.1400"
"2017/08/22","68.7100","1093653.0000","68.0400","68.9700","67.8300"
"2017/08/21","67.0700","815228.0000","66.7600","67.2000","66.0800"
"2017/08/18","66.8100","383327.0000","66.2500","66.9900","65.9300"
"2017/08/17","66.4000","447615.0000","66.8300","67.6400","66.3800"
"2017/08/16","67.2200","586827.0000","66.2200","67.5800","66.1700"
"2017/08/15","66.2100","822098.0000","67.7600","67.9200","66.1800"
"2017/08/14","67.7400","2857257.0000","64.9000","68.1500","64.9000"
"2017/08/11","63.0400","787831.0000","62.9200","63.3300","62.7300"
"2017/08/10","63.1700","481617.0000","63.9000","64.0000","63.1140"
"2017/08/09","64.1200","526363.0000","63.8500","64.3300","63.6000"
"2017/08/08","64.4500","519361.0000","64.2200","64.7900","63.9250"
"2017/08/07","64.4500","411350.0000","64.2100","64.6900","63.9600"
"2017/08/04","64.3900","439028.0000","64.2100","64.5400","64.0600"
"2017/08/03","64.0100","367390.0000","63.6900","64.1200","63.4600"
"2017/08/02","63.8500","746241.0000","64.4900","64.4900","63.4300"
"2017/08/01","64.4700","576100.0000","64.5400","64.6300","63.9600"
